排名,推荐层级,老药新用类型,药物,原适应症领域,原领域英文,候选靶点,拟新用细分病种,拟新用病种英文,拟新用病种大类,优先级分数,ConPLEx分数,药物内靶点排名,OpenTargets病种分数,实验类型,风险等级,文献状态,PubMed总窗计数,上市后PubMed计数,是否同原适应症领域,是否同已知靶点家族
55,第一轮优先,跨领域但同靶点家族扩展,Infigratinib Phosphate,肿瘤,Oncology,CSF1R,肾细胞癌,renal cell carcinoma,实体瘤,75.54849099261283,0.699764,1,0.6021551552272368,酶/表观遗传生化,medium,上市后文献有新靶点线索,4,1,否,是
56,第一轮优先,跨领域但同靶点家族扩展,Palonosetron Hydrochloride,肿瘤,Oncology,KCNK3,肺动脉高压,pulmonary arterial hypertension,心血管,75.26503418496569,0.7315058,27,0.5006681859984753,离子通道功能,medium,PubMed pair审计未见明确报道,0,0,否,是
57,第一轮优先,跨大领域老药新用,Rilpivirine Hydrochloride,感染性疾病,Infectious Disease,LCK,急性髓系白血病,acute myeloid leukemia,血液肿瘤/血液病,75.11160462872733,0.36284697,55,0.3783146383138076,激酶生化/细胞,中,PubMed pair审计未见明确报道,0,0,否,否
58,第一轮优先,跨领域但同靶点家族扩展,Palonosetron Hydrochloride,肿瘤,Oncology,SCN5A,心律失常,cardiac arrhythmia,心血管,74.69259161909332,0.60582685,60,0.7863374052930366,离子通道功能,中高,PubMed pair审计未见明确报道,0,0,否,是
59,第一轮优先,跨大领域老药新用,Ombitasvir,感染性疾病,Infectious Disease,IDH2,浆细胞骨髓瘤,plasma cell myeloma,血液肿瘤/血液病,73.28174055653224,0.32210785,1,0.2925944099199518,酶/表观遗传生化,low,PubMed pair审计未见明确报道,0,0,否,否
60,第一轮优先,跨大领域老药新用,Raltegravir Potassium,感染性疾病,Infectious Disease,SLC34A2,肺鳞癌,squamous cell lung carcinoma,实体瘤,72.73919974380286,0.38032866,7,0.3699494345393864,转运体摄取/外排,medium,PubMed pair审计未见明确报道,0,0,否,否
61,第一轮优先,跨大领域老药新用,Siponimod,神经/精神,Neurology/Psychiatry,NOX4,动脉粥样硬化,atherosclerosis,心血管,72.67940616495132,0.46716738,4,0.0982931154793176,酶/表观遗传生化,medium,PubMed pair审计未见明确报道,0,0,否,否
62,第一轮优先,同领域同靶点家族扩展,Neratinib Maleate,肿瘤,Oncology,KDR,肝细胞癌,hepatocellular carcinoma,实体瘤,72.49571732357533,0.26954842,12,0.6777833062329777,酶/表观遗传生化,low,PubMed pair审计未见明确报道,0,0,是,是
63,第一轮优先,同领域同靶点家族扩展,Selpercatinib,肿瘤,Oncology,KRAS,非小细胞肺癌,non-small cell lung carcinoma,实体瘤,72.0,0.64690065,2,0.803548887170282,酶/表观遗传生化,medium,上市后文献有新靶点线索,18,18,是,是
64,第一轮优先,跨大领域老药新用,Etravirine,感染性疾病,Infectious Disease,LCK,急性髓系白血病,acute myeloid leukemia,血液肿瘤/血液病,71.065406295394,0.27614272,13,0.3783146383138076,激酶生化/细胞,medium,PubMed pair审计未见明确报道,0,0,否,否
65,第一轮优先,同领域同靶点家族扩展,Pazopanib Hydrochloride,肿瘤,Oncology,KIT,黑色素瘤,melanoma,实体瘤,70.72632779550207,0.92742383,2,0.4767256798000925,激酶生化/细胞,medium,上市后文献有新靶点线索,96,91,是,是
