model,scenario,pair_id,ligand_inchikey,drug_names,gene_symbol,target_chembl_id,selection_score,in_frozen384,reviewed_in_original574,latest_exact_evidence,kdki_inactive_training_seen,all_inactive_training_seen
all_inactive_consensus,fixed112_frozen_evidence,DDOOFTLHJSMHLN-ZQHRPCGSSA-N__CHEMBL286,DDOOFTLHJSMHLN-ZQHRPCGSSA-N,ubrogepant,REN,CHEMBL286,0.82270217,False,False,False,False,False
all_inactive_consensus,fixed112_frozen_evidence,DDOOFTLHJSMHLN-ZQHRPCGSSA-N__CHEMBL3922,DDOOFTLHJSMHLN-ZQHRPCGSSA-N,ubrogepant,METAP2,CHEMBL3922,0.7307257,True,True,False,False,False
all_inactive_consensus,fixed112_frozen_evidence,DDOOFTLHJSMHLN-ZQHRPCGSSA-N__CHEMBL4393,DDOOFTLHJSMHLN-ZQHRPCGSSA-N,ubrogepant,MMP12,CHEMBL4393,0.85774153,False,False,False,False,False
all_inactive_consensus,fixed112_frozen_evidence,DDOOFTLHJSMHLN-ZQHRPCGSSA-N__CHEMBL4898,DDOOFTLHJSMHLN-ZQHRPCGSSA-N,ubrogepant,NTRK2,CHEMBL4898,0.9522886,False,False,False,False,False
all_inactive_consensus,fixed112_frozen_evidence,DWYRIWUZIJHQKQ-SANMLTNESA-N__CHEMBL1827,DWYRIWUZIJHQKQ-SANMLTNESA-N,avapritinib,PDE5A,CHEMBL1827,0.9000419,False,False,False,False,False
all_inactive_consensus,fixed112_frozen_evidence,DWYRIWUZIJHQKQ-SANMLTNESA-N__CHEMBL288,DWYRIWUZIJHQKQ-SANMLTNESA-N,avapritinib,PDE4D,CHEMBL288,0.93683267,False,False,False,False,False
all_inactive_consensus,fixed112_frozen_evidence,DWYRIWUZIJHQKQ-SANMLTNESA-N__CHEMBL4409,DWYRIWUZIJHQKQ-SANMLTNESA-N,avapritinib,PDE10A,CHEMBL4409,0.9476438,False,False,False,False,False
all_inactive_consensus,fixed112_frozen_evidence,DYLUUSLLRIQKOE-UHFFFAOYSA-N__CHEMBL2243,DYLUUSLLRIQKOE-UHFFFAOYSA-N,enasidenib,FAAH,CHEMBL2243,0.82588273,False,False,False,False,False
all_inactive_consensus,fixed112_frozen_evidence,FABUFPQFXZVHFB-PVYNADRNSA-N__CHEMBL1902,FABUFPQFXZVHFB-PVYNADRNSA-N,ixabepilone,FKBP1A,CHEMBL1902,0.8453463,False,False,False,False,False
all_inactive_consensus,fixed112_frozen_evidence,FABUFPQFXZVHFB-PVYNADRNSA-N__CHEMBL2815,FABUFPQFXZVHFB-PVYNADRNSA-N,ixabepilone,NTRK1,CHEMBL2815,0.88873476,False,False,False,False,False
all_inactive_consensus,fixed112_frozen_evidence,FABUFPQFXZVHFB-PVYNADRNSA-N__CHEMBL3045,FABUFPQFXZVHFB-PVYNADRNSA-N,ixabepilone,PRKCB,CHEMBL3045,0.72267133,True,True,False,False,False
all_inactive_consensus,fixed112_frozen_evidence,FABUFPQFXZVHFB-PVYNADRNSA-N__CHEMBL4895,FABUFPQFXZVHFB-PVYNADRNSA-N,ixabepilone,AXL,CHEMBL4895,0.7548809,False,False,False,False,False
all_inactive_consensus,fixed112_frozen_evidence,FAEKWTJYAYMJKF-QHCPKHFHSA-N__CHEMBL284,FAEKWTJYAYMJKF-QHCPKHFHSA-N,repaglinide,DPP4,CHEMBL284,0.91951066,False,False,False,False,False
all_inactive_consensus,fixed112_frozen_evidence,FBOUYBDGKBSUES-VXKWHMMOSA-N__CHEMBL1944,FBOUYBDGKBSUES-VXKWHMMOSA-N,solifenacin,MME,CHEMBL1944,0.65878886,False,False,False,False,False
all_inactive_consensus,fixed112_frozen_evidence,FBOUYBDGKBSUES-VXKWHMMOSA-N__CHEMBL1994,FBOUYBDGKBSUES-VXKWHMMOSA-N,solifenacin,NR3C2,CHEMBL1994,0.9141241,False,False,False,False,False
all_inactive_consensus,fixed112_frozen_evidence,FBOUYBDGKBSUES-VXKWHMMOSA-N__CHEMBL2326,FBOUYBDGKBSUES-VXKWHMMOSA-N,solifenacin,CA7,CHEMBL2326,0.7672827,True,True,False,False,False
all_inactive_consensus,fixed112_frozen_evidence,FBOUYBDGKBSUES-VXKWHMMOSA-N__CHEMBL5705,FBOUYBDGKBSUES-VXKWHMMOSA-N,solifenacin,EGLN3,CHEMBL5705,0.829813,False,False,False,False,False
all_inactive_consensus,fixed112_frozen_evidence,FELGMEQIXOGIFQ-UHFFFAOYSA-N__CHEMBL2039,FELGMEQIXOGIFQ-UHFFFAOYSA-N,ondansetron,MAOB,CHEMBL2039,0.48854527,False,False,False,False,False
all_inactive_consensus,fixed112_frozen_evidence,FGQFOYHRJSUHMR-UHFFFAOYSA-N__CHEMBL2063,FGQFOYHRJSUHMR-UHFFFAOYSA-N,lesinurad,UGCG,CHEMBL2063,0.2921152,True,True,False,False,False
all_inactive_consensus,fixed112_frozen_evidence,FIVSJYGQAIEMOC-ZGNKEGEESA-N__CHEMBL1868,FIVSJYGQAIEMOC-ZGNKEGEESA-N,rolapitant,FLT1,CHEMBL1868,0.93498796,False,False,False,False,False
all_inactive_consensus,fixed112_frozen_evidence,FIVSJYGQAIEMOC-ZGNKEGEESA-N__CHEMBL1871,FIVSJYGQAIEMOC-ZGNKEGEESA-N,rolapitant,AR,CHEMBL1871,0.91444254,False,False,False,False,False
all_inactive_consensus,fixed112_frozen_evidence,FIVSJYGQAIEMOC-ZGNKEGEESA-N__CHEMBL2041,FIVSJYGQAIEMOC-ZGNKEGEESA-N,rolapitant,RET,CHEMBL2041,0.8960147,False,False,False,False,False
all_inactive_consensus,fixed112_frozen_evidence,FIVSJYGQAIEMOC-ZGNKEGEESA-N__CHEMBL2973,FIVSJYGQAIEMOC-ZGNKEGEESA-N,rolapitant,ROCK2,CHEMBL2973,0.9231748,False,False,False,False,False
all_inactive_consensus,fixed112_frozen_evidence,FJZZPCZKBUKGGU-AUSIDOKSSA-N__CHEMBL1827,FJZZPCZKBUKGGU-AUSIDOKSSA-N,eliglustat,PDE5A,CHEMBL1827,0.8675139,False,False,False,False,False
all_inactive_consensus,fixed112_frozen_evidence,FJZZPCZKBUKGGU-AUSIDOKSSA-N__CHEMBL1902,FJZZPCZKBUKGGU-AUSIDOKSSA-N,eliglustat,FKBP1A,CHEMBL1902,0.7944653,False,False,False,False,False
all_inactive_consensus,fixed112_frozen_evidence,FTALBRSUTCGOEG-UHFFFAOYSA-N__CHEMBL4523510,FTALBRSUTCGOEG-UHFFFAOYSA-N,riluzole,CYP46A1,CHEMBL4523510,0.45146987,False,False,False,False,False
all_inactive_consensus,fixed112_frozen_evidence,GCKFUYQCUCGESZ-BPIQYHPVSA-N__CHEMBL242,GCKFUYQCUCGESZ-BPIQYHPVSA-N,etonogestrel,ESR2,CHEMBL242,0.86497957,True,True,False,False,False
