pair_id,drug_names,gene_symbol,raw_activity_rows,raw_high_confidence_direct_target_annotation,novelty_reaudit_status
XRVDGNKRPOAQTN-FQEVSTJZSA-N__CHEMBL3045,ozanimod,PRKCB,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
AYXYPKUFHZROOJ-ZETCQYMHSA-N__CHEMBL286,pregabalin,REN,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
DQCKKXVULJGBQN-XFWGSAIBSA-N__CHEMBL3535,naltrexone,PDE9A,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
GCKFUYQCUCGESZ-BPIQYHPVSA-N__CHEMBL1978,etonogestrel,CYP19A1,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
HTIQEAQVCYTUBX-UHFFFAOYSA-N__CHEMBL3242,amlodipine,CA12,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
NBRBXGKOEOGLOI-UHFFFAOYSA-N__CHEMBL1871,dasabuvir,AR,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
PZBCKZWLPGJMAO-UHFFFAOYSA-N__CHEMBL5608,copanlisib,NTRK3,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
CMHHMUWAYWTMGS-UHFFFAOYSA-N__CHEMBL3979,benoxinate,PPARD,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
HMABYWSNWIZPAG-UHFFFAOYSA-N__CHEMBL3145,rucaparib,PIK3CB,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
MVRHVFSOIWFBTE-INIZCTEOSA-N__CHEMBL3267,elexacaftor,PIK3CG,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
COUYJEVMBVSIHV-SFHVURJKSA-N__CHEMBL288,olodaterol,PDE4D,1,False,PRIOR_ACTIVITY_PRESENT_NOT_NEW_UNTESTED_PAIR
DUGOZIWVEXMGBE-CHWSQXEVSA-N__CHEMBL4816,dexmethylphenidate;serdexmethylphenidate,AKT3,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
QZZUEBNBZAPZLX-QFIPXVFZSA-N__CHEMBL3553,indacaterol,TYK2,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
JQSHBVHOMNKWFT-DTORHVGOSA-N__CHEMBL2208,varenicline,MAPKAPK2,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
LXBIFEVIBLOUGU-DPYQTVNSSA-N__CHEMBL5216,migalastat,UMPS,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
FVTWTVQXNAJTQP-UHFFFAOYSA-N__CHEMBL5705,umeclidinium,EGLN3,0,False,NO_EXACT_TARGET_RECORD_IN_LOCAL_CHEMBL37_NOT_PROOF_OF_NOVELTY
