pair_id,drug_names,gene_symbol,target_chembl_id,selection_score,in_frozen384,reviewed_in_original574,latest_exact_evidence
XYFPWWZEPKGCCK-GOSISDBHSA-N__CHEMBL1808,ibrutinib,ACE,CHEMBL1808,0.6748687,False,False,False
XYFPWWZEPKGCCK-GOSISDBHSA-N__CHEMBL202,ibrutinib,DHFR,CHEMBL202,0.89344406,False,False,False
YALNUENQHAQXEA-UHFFFAOYSA-N__CHEMBL1808,givinostat,ACE,CHEMBL1808,0.72241527,False,False,False
YALNUENQHAQXEA-UHFFFAOYSA-N__CHEMBL2695,givinostat,PTK2,CHEMBL2695,0.6044166,False,False,False
YIBOMRUWOWDFLG-ONEGZZNKSA-N__CHEMBL1841,rilpivirine,FYN,CHEMBL1841,0.89420515,True,True,False
YIBOMRUWOWDFLG-ONEGZZNKSA-N__CHEMBL2073,rilpivirine,YES1,CHEMBL2073,0.8930739,True,True,False
YIBOMRUWOWDFLG-ONEGZZNKSA-N__CHEMBL2276,rilpivirine,MAPK8,CHEMBL2276,0.83445454,True,True,False
YIBOMRUWOWDFLG-ONEGZZNKSA-N__CHEMBL5145,rilpivirine,BRAF,CHEMBL5145,0.8681311,False,False,False
YLXDSYKOBKBWJQ-LBPRGKRZSA-N__CHEMBL2850,ramelteon,GSK3A,CHEMBL2850,0.7778695,False,False,False
YTFHCXIPDIHOIA-DHZHZOJOSA-N__CHEMBL1994,palovarotene,NR3C2,CHEMBL1994,0.8415889,False,False,False
YTFHCXIPDIHOIA-DHZHZOJOSA-N__CHEMBL242,palovarotene,ESR2,CHEMBL242,0.7507654,False,False,False
YTFHCXIPDIHOIA-DHZHZOJOSA-N__CHEMBL2815,palovarotene,NTRK1,CHEMBL2815,0.8510241,False,False,False
ZBGXUVOIWDMMJE-QHNZEKIYSA-N__CHEMBL1808,vorapaxar,ACE,CHEMBL1808,0.8600633,False,False,False
ZBGXUVOIWDMMJE-QHNZEKIYSA-N__CHEMBL1902,vorapaxar,FKBP1A,CHEMBL1902,0.92733747,False,False,False
ZBGXUVOIWDMMJE-QHNZEKIYSA-N__CHEMBL286,vorapaxar,REN,CHEMBL286,0.89128697,False,True,False
ZBGXUVOIWDMMJE-QHNZEKIYSA-N__CHEMBL4393,vorapaxar,MMP12,CHEMBL4393,0.8977664,False,False,False
ZBNZXTGUTAYRHI-UHFFFAOYSA-N__CHEMBL1937,dasatinib,HDAC2,CHEMBL1937,0.84550416,False,False,False
ZBNZXTGUTAYRHI-UHFFFAOYSA-N__CHEMBL202,dasatinib,DHFR,CHEMBL202,0.8643996,False,False,False
ZBNZXTGUTAYRHI-UHFFFAOYSA-N__CHEMBL325,dasatinib,HDAC1,CHEMBL325,0.84091276,False,False,False
ZBNZXTGUTAYRHI-UHFFFAOYSA-N__CHEMBL3310,dasatinib,HDAC11,CHEMBL3310,0.8635738,False,False,False
ZPUCINDJVBIVPJ-LJISPDSOSA-N__CHEMBL2252,cocaine,CTSC,CHEMBL2252,0.84030885,False,False,False
