drug_id,name,smiles,native_feature_index,gene_symbol,dtiam_probability,dtiam_rank
XUKUURHRXDUEBC-KAYWLYCHSA-N,atorvastatin,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O,37232,LYVE1,0.7007052,87
FPOHNWQLNRZRFC-ZHACJKMWSA-N,panobinostat,Cc1[nH]c2ccccc2c1CCNCc1ccc(/C=C/C(=O)NO)cc1,177649,LYVE1,0.70049316,88
WDENQIQQYWYTPO-IBGZPJMESA-N,acalabrutinib,CC#CC(=O)N1CCC[C@H]1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12,12938,LYVE1,0.6978978,89
NBRBXGKOEOGLOI-UHFFFAOYSA-N,dasabuvir,COc1c(-c2ccc3cc(NS(C)(=O)=O)ccc3c2)cc(-n2ccc(=O)[nH]c2=O)cc1C(C)(C)C,122249,LYVE1,0.6948166,90
PEMUGDMSUDYLHU-ZEQRLZLVSA-N,adagrasib,C=C(F)C(=O)N1CCN(c2nc(OC[C@@H]3CCCN3C)nc3c2CCN(c2cccc4cccc(Cl)c24)C3)C[C@@H]1CC#N,3977,LYVE1,0.6932943,91
MLDQJTXFUGDVEO-UHFFFAOYSA-N,sorafenib,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,104155,LYVE1,0.6874117,92
GYHCTFXIZSNGJT-UHFFFAOYSA-N,tolvaptan,Cc1ccccc1C(=O)Nc1ccc(C(=O)N2CCCC(O)c3cc(Cl)ccc32)c(C)c1,204766,LYVE1,0.6865092,93
KIHYPELVXPAIDH-HNSNBQBZSA-N,siponimod,CCc1cc(/C(C)=N/OCc2ccc(C3CCCCC3)c(C(F)(F)F)c2)ccc1CN1CC(C(=O)O)C1,80269,LYVE1,0.68562776,94
XTNGUQKDFGDXSJ-ZXGKGEBGSA-N,canagliflozin,Cc1ccc([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1Cc1ccc(-c2ccc(F)cc2)s1,199836,LYVE1,0.68400836,95
LOWWYYZBZNSPDT-ZBEGNZNMSA-N,delgocitinib,C[C@H]1CN(C(=O)CC#N)[C@]12CCN(c1ncnc3[nH]ccc13)C2,173925,LYVE1,0.681895,96
KJHKTHWMRKYKJE-SUGCFTRWSA-N,lopinavir,Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCCNC1=O,202496,LYVE1,0.68147075,97
RENRQMCACQEWFC-UGKGYDQZSA-N,iptacopan,CCO[C@H]1CCN(Cc2c(OC)cc(C)c3[nH]ccc23)[C@H](c2ccc(C(=O)O)cc2)C1,72369,LYVE1,0.6809028,98
MWKYMZXCGYXLPL-ZDUSSCGKSA-N,leniolisib,CCC(=O)N1CC[C@H](Nc2ncnc3c2CN(c2cnc(OC)c(C(F)(F)F)c2)CC3)C1,49594,LYVE1,0.6790172,99
PYGWGZALEOIKDF-UHFFFAOYSA-N,etravirine,Cc1cc(C#N)cc(C)c1Oc1nc(Nc2ccc(C#N)cc2)nc(N)c1Br,183877,LYVE1,0.67631906,100
XPIJWUTXQAGSLK-UHFFFAOYSA-N,ozenoxacin,CNc1ncc(-c2ccc3c(=O)c(C(=O)O)cn(C4CC4)c3c2C)cc1C,109468,LYVE1,0.6734607,101
KTUFNOKKBVMGRW-UHFFFAOYSA-N,imatinib,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,197500,LYVE1,0.66617537,102
GZOSMCIZMLWJML-VJLLXTKPSA-N,abiraterone,C[C@]12CC[C@H](O)CC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(c3cccnc3)=CC[C@@H]12,176600,LYVE1,0.664763,103
LUZRJRNZXALNLM-JGRZULCMSA-N,dihydroergotamine,CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,101888,LYVE1,0.66458094,104
XEDHVZKDSYZQBF-UHFFFAOYSA-N,lasmiditan,CN1CCC(C(=O)c2cccc(NC(=O)c3c(F)cc(F)cc3F)n2)CC1,97320,LYVE1,0.6637519,105
XHOLNRLADUSQLD-UHFFFAOYSA-N,betrixaban,COc1ccc(NC(=O)c2ccc(C(=N)N(C)C)cc2)c(C(=O)Nc2ccc(Cl)cn2)c1,146363,LYVE1,0.6633318,106
LIRYPHYGHXZJBZ-UHFFFAOYSA-N,trametinib,CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1,18267,LYVE1,0.66117233,107
LMMJFBMMJUMSJS-UHFFFAOYSA-N,avutometinib,CNS(=O)(=O)Nc1nccc(Cc2c(C)c3ccc(Oc4ncccn4)cc3oc2=O)c1F,107679,LYVE1,0.6608851,108
CZGVOBIGEBDYTP-VSGBNLITSA-N,linerixibat,CCCC[C@]1(CC)CS(=O)(=O)c2cc(CNC(CC(=O)O)CC(=O)O)c(OC)cc2[C@@H](c2ccccc2)N1,58206,LYVE1,0.6585478,109
JWJOTENAMICLJG-QWBYCMEYSA-N,dutasteride,C[C@]12C=CC(=O)N[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](C(=O)Nc3cc(C(F)(F)F)ccc3C(F)(F)F)CC[C@@H]12,176222,LYVE1,0.6559926,110
