drug_id,name,smiles,native_feature_index,lmdb_key,geometry_source,source_record_sha256
CJBJHOAVZSMMDJ-HEXNFIEUSA-N,darunavir,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc(N)cc1,30517,000067,existing_independent_ETKDG,944033ce97578e516961d344652feef3450b8ebdc0ece307e1998a82dbb7dd44
CJOFXWAVKWHTFT-XSFVSMFZSA-N,fluvoxamine,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,116655,000068,existing_independent_ETKDG,ed557d2ef902082b673740ea016ace9662a4f43d89af7d2280d285220bd1a98e
CMHHMUWAYWTMGS-UHFFFAOYSA-N,benoxinate,CCCCOc1cc(C(=O)OCCN(CC)CC)ccc1N,57476,000069,existing_independent_ETKDG,9f4df8db3eb6dc400fdb1b3cea4a2519fa468e05a3be77c4ddfbb429fb25ea33
CMJCXYNUCSMDBY-ZDUSSCGKSA-N,encorafenib,COC(=O)N[C@@H](C)CNc1nccc(-c2cn(C(C)C)nc2-c2cc(Cl)cc(NS(C)(=O)=O)c2F)n1,111403,000070,existing_independent_ETKDG,0014797ac0fb5476b7c90459477f603161f99950c88c7deb8b206e5e0c606bcd
CMWTZPSULFXXJA-VIFPVBQESA-N,naproxen,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,150580,000071,existing_independent_ETKDG,caacc7668c8d11c6531ebf8c351cf211f1a7ce6c8cd3e7a122265b3e263eb374
COUYJEVMBVSIHV-SFHVURJKSA-N,olodaterol,COc1ccc(CC(C)(C)NC[C@H](O)c2cc(O)cc3c2OCC(=O)N3)cc1,143183,000072,existing_independent_ETKDG,4de3dd253fec51ab5fe322e25ef873347a82db5a761d35055ad2c6255dd5efd1
CPZBLNMUGSZIPR-NVXWUHKLSA-N,palonosetron,O=C1c2cccc3c2[C@H](CCC3)CN1[C@@H]1CN2CCC1CC2,295129,000073,existing_independent_ETKDG,b9bf364e8bb1db705dc4ea3f67327e54dccc803f17c9b68771e63f6c92528076
CSKDFZIMJXRJGH-VWLPUNTISA-N,tecovirimat,O=C(NN1C(=O)[C@@H]2[C@@H]3C=C[C@@H]([C@H]4C[C@@H]34)[C@@H]2C1=O)c1ccc(C(F)(F)F)cc1,272865,000074,existing_independent_ETKDG,60644fcee22678d29957ef2f495f11380f667b1692bd8ac4d1f6d94d9ec84799
CSOBIBXVIYAXFM-BYNJWEBRSA-N,ensifentrine,COc1cc2c(cc1OC)-c1c/c(=N\c3c(C)cc(C)cc3C)n(CCNC(N)=O)c(=O)n1CC2,134700,000075,existing_independent_ETKDG,1c3c8b4757a039acffc9db19d0aa2d37255eaaa3bca531b06d21eba94a53712f
CTRLABGOLIVAIY-UHFFFAOYSA-N,oxcarbazepine,NC(=O)N1c2ccccc2CC(=O)c2ccccc21,241668,000076,existing_independent_ETKDG,5997870b2fd3af9cb0544c9721556170c10b16745301c5837de0c31436a757c7
