matrix,view,direction,model_a,model_b,queries,valid_correlations,minimum_candidates,maximum_candidates,median_spearman,mean_spearman,mean_kendall_tau_b,mean_top10_overlap,random_top10_overlap,top10_overlap_ratio_to_random
PRIMARY_720X96,PAIRWISE_COMMON,drug_to_target,ProbeMatchDTI,DTBind_occurrence,720,720,73,73,0.34169443416018763,0.332828034566907,0.2272212464702901,2.9371031746031746,1.36986301369863,2.1440853174603176
PRIMARY_720X96,PAIRWISE_COMMON,target_to_drug,ConPLex,DTBind_occurrence,73,73,720,720,0.13207136062249994,0.12873317987080907,0.0888036500893042,0.273972602739726,0.1388888888888889,1.9726027397260273
PRIMARY_720X96,PAIRWISE_COMMON,target_to_drug,ConPLex,DTIAM_A,96,96,720,720,0.07013048412760933,0.061025281138074074,0.04419595276932023,1.0625,0.1388888888888889,7.6499999999999995
PRIMARY_720X96,PAIRWISE_COMMON,target_to_drug,ConPLex,DrugCLIP,95,95,720,720,0.04736224353817165,0.06690806907253587,0.046627313500162054,0.24210526315789474,0.1388888888888889,1.743157894736842
PRIMARY_720X96,PAIRWISE_COMMON,target_to_drug,ConPLex,Nesso-1,30,30,719,719,0.09645100460870742,0.09078903220909966,0.06083237670866521,0.6333333333333333,0.13908205841446453,4.5536666666666665
PRIMARY_720X96,PAIRWISE_COMMON,target_to_drug,ConPLex,ProbeMatchDTI,96,96,720,720,-0.07044640992373974,-0.04915868130492917,-0.0338686428999611,0.19803735888294713,0.1388888888888889,1.4258689839572192
PRIMARY_720X96,PAIRWISE_COMMON,target_to_drug,DTIAM_A,DTBind_occurrence,73,73,720,720,-0.022450117104553254,0.0004384795511056206,-0.0001770783456990039,0.273972602739726,0.1388888888888889,1.9726027397260273
PRIMARY_720X96,PAIRWISE_COMMON,target_to_drug,DTIAM_A,Nesso-1,30,30,719,719,-0.11050387718310649,-0.040476989193431415,-0.027765089665777423,0.5333333333333333,0.13908205841446453,3.8346666666666667
PRIMARY_720X96,PAIRWISE_COMMON,target_to_drug,DTIAM_A,ProbeMatchDTI,96,96,720,720,0.05968156238946365,0.06873474363812597,0.047163857574646244,0.5797107100415924,0.1388888888888889,4.173917112299465
PRIMARY_720X96,PAIRWISE_COMMON,target_to_drug,DrugCLIP,DTBind_occurrence,73,73,720,720,0.11357826919571627,0.10439223201039101,0.07027876091274073,0.1917808219178082,0.1388888888888889,1.380821917808219
PRIMARY_720X96,PAIRWISE_COMMON,target_to_drug,DrugCLIP,DTIAM_A,95,95,720,720,0.040825635346213446,0.058683214487665496,0.03869471155526253,0.30526315789473685,0.1388888888888889,2.1978947368421053
PRIMARY_720X96,PAIRWISE_COMMON,target_to_drug,DrugCLIP,Nesso-1,30,30,719,719,0.054105019222251076,0.08626001844957297,0.05817090950884792,0.4666666666666667,0.13908205841446453,3.3553333333333337
PRIMARY_720X96,PAIRWISE_COMMON,target_to_drug,DrugCLIP,ProbeMatchDTI,95,95,720,720,0.05857343200389912,0.05294475086480067,0.03520903392740742,0.28830096631954216,0.1388888888888889,2.0757669575007034
PRIMARY_720X96,PAIRWISE_COMMON,target_to_drug,Nesso-1,DTBind_occurrence,23,23,719,719,0.28441794825640343,0.24922509642956472,0.1696945576290662,0.6521739130434783,0.13908205841446453,4.689130434782609
PRIMARY_720X96,PAIRWISE_COMMON,target_to_drug,Nesso-1,ProbeMatchDTI,30,30,719,719,0.03891011063286857,-0.01339060543926623,-0.009279215398768281,0.5378787878787878,0.13908205841446453,3.8673484848484847
PRIMARY_720X96,PAIRWISE_COMMON,target_to_drug,ProbeMatchDTI,DTBind_occurrence,73,73,720,720,0.1558103003579436,0.1416908805232507,0.09567313477811974,0.2534344248284619,0.1388888888888889,1.8247278587649256
