pair_id,biomaster,drugclip,dtiam,conplex
DMNOVGJWPASQDL-OAQYLSRUSA-N__CHEMBL2722,-3.942209,-0.037755985,0.9051873,0.0
DOUYETYNHWVLEO-UHFFFAOYSA-N__CHEMBL1782,-4.4349365,-0.025575312,0.5045846,0.0
DQCKKXVULJGBQN-XFWGSAIBSA-N__CHEMBL3535,-14.197997,-0.002080705,0.4777191,0.0
DRHKJLXJIQTDTD-OAHLLOKOSA-N__CHEMBL3729,-2.4790087,-0.09542737,0.8565097,0.045566905
DUGOZIWVEXMGBE-CHWSQXEVSA-N__CHEMBL4816,-14.823043,0.27588555,0.077415064,0.0
DUYJMQONPNNFPI-UHFFFAOYSA-N__CHEMBL203,3.799524,0.3427894,0.9083513,0.7285491
DWZAEMINVBZMHQ-UHFFFAOYSA-N__CHEMBL3142,3.516924,0.2114379,0.72072417,0.07317822
DYLUUSLLRIQKOE-UHFFFAOYSA-N__CHEMBL2007625,-4.5831203,0.24983321,0.97048724,0.0
DYLUUSLLRIQKOE-UHFFFAOYSA-N__CHEMBL258,-9.395811,0.10356917,0.6654239,0.0
DYLUUSLLRIQKOE-UHFFFAOYSA-N__CHEMBL262,-7.685797,0.21450417,0.8485565,0.0
DYLUUSLLRIQKOE-UHFFFAOYSA-N__CHEMBL5145,-8.480394,0.0035473667,0.73512626,0.10756223
FABUFPQFXZVHFB-PVYNADRNSA-N__CHEMBL1844,-15.84423,0.06846211,0.51745874,0.0
FABUFPQFXZVHFB-PVYNADRNSA-N__CHEMBL3045,-15.318841,0.13387087,0.5820165,0.0
FASDKYOPVNHBLU-ZETCQYMHSA-N__CHEMBL205,-4.5251775,-0.28010496,0.093100555,0.064022794
FBOUYBDGKBSUES-VXKWHMMOSA-N__CHEMBL2326,-2.223532,-0.014175296,0.7973851,0.051651772
FELGMEQIXOGIFQ-UHFFFAOYSA-N__CHEMBL2243,-8.873671,0.4563875,0.6632,0.044232525
FGQFOYHRJSUHMR-UHFFFAOYSA-N__CHEMBL2063,-9.349617,0.1101528,0.7316847,0.084023565
FIVSJYGQAIEMOC-ZGNKEGEESA-N__CHEMBL3535,-7.896907,-0.2156115,0.8176046,0.22284696
FNKQXYHWGSIFBK-RPDRRWSUSA-N__CHEMBL2527,-12.126931,0.023246398,0.21298647,0.23227929
FPOHNWQLNRZRFC-ZHACJKMWSA-N__CHEMBL5366,-5.28358,-0.12218583,0.8882019,0.0
FTALBRSUTCGOEG-UHFFFAOYSA-N__CHEMBL2039,-0.78152037,-0.1444569,0.18378347,0.0
FVTWTVQXNAJTQP-UHFFFAOYSA-N__CHEMBL2722,-8.051946,0.18756913,0.79649234,0.0
FVTWTVQXNAJTQP-UHFFFAOYSA-N__CHEMBL5705,-11.942428,-0.11205987,0.5054352,0.016796319
GCKFUYQCUCGESZ-BPIQYHPVSA-N__CHEMBL1977,-11.6436405,0.07661515,0.15582812,0.2046013
GCKFUYQCUCGESZ-BPIQYHPVSA-N__CHEMBL1978,-4.1538625,0.23328458,0.3608687,0.09205145
GCKFUYQCUCGESZ-BPIQYHPVSA-N__CHEMBL242,-1.0672839,0.08058547,0.73252636,0.712852
GDLBFKVLRPITMI-UHFFFAOYSA-N__CHEMBL1744525,-4.261333,-0.14218831,0.13959844,0.0
GDLBFKVLRPITMI-UHFFFAOYSA-N__CHEMBL1844,-7.930043,-0.011362106,0.2628449,0.042219892
GGCSSNBKKAUURC-UHFFFAOYSA-N__CHEMBL2007,-14.532981,-0.23572676,0.13837917,0.07482405
GGCSSNBKKAUURC-UHFFFAOYSA-N__CHEMBL2821,-8.304423,0.20789035,0.21340232,0.010985331
GKCBAIGFKIBETG-UHFFFAOYSA-N__CHEMBL2252,-2.7838302,-0.08544284,0.40799302,0.07037002
GKCBAIGFKIBETG-UHFFFAOYSA-N__CHEMBL2821,-7.2193837,-0.08619383,0.13201554,0.0
GNXFOGHNGIVQEH-UHFFFAOYSA-N__CHEMBL2326,1.5833515,0.037258986,0.39170772,0.032524098
GNXFOGHNGIVQEH-UHFFFAOYSA-N__CHEMBL3729,2.2292175,0.06806024,0.1858373,0.04304285
GOTYRUGSSMKFNF-UHFFFAOYSA-N__CHEMBL1937,-6.414476,0.04059157,0.13506357,0.061142534
