scope,query,entity,model_a,model_b,n,spearman,top10_overlap,top10_tie_expected,top10_chance
FIVE_FIXED_382_TARGETS,target_id,CHEMBL1075319,dtiam,conplex,720,0.0028277362063405223,2,2.0,0.1388888888888889
FIVE_FIXED_382_TARGETS,target_id,CHEMBL1075319,dtiam,probematch,720,0.09435374616440276,0,0.0,0.1388888888888889
FIVE_FIXED_382_TARGETS,target_id,CHEMBL1163124,dtiam,biomaster,720,0.017968143245273623,0,0.0,0.1388888888888889
FIVE_FIXED_382_TARGETS,target_id,CHEMBL1163124,dtiam,drugclip,720,-0.1734098148619439,0,0.0,0.1388888888888889
FIVE_FIXED_382_TARGETS,target_id,CHEMBL1163124,dtiam,conplex,720,0.15845173958328002,0,0.0,0.1388888888888889
FIVE_FIXED_382_TARGETS,target_id,CHEMBL1163124,dtiam,probematch,720,-0.015594665591733146,2,2.0,0.1388888888888889
FIVE_FIXED_382_TARGETS,target_id,CHEMBL1169596,dtiam,biomaster,720,-0.0025860391677584266,1,1.0,0.1388888888888889
FIVE_FIXED_382_TARGETS,target_id,CHEMBL1169596,dtiam,drugclip,720,-0.12823341199352553,0,0.0,0.1388888888888889
FIVE_FIXED_382_TARGETS,target_id,CHEMBL1169596,dtiam,conplex,720,0.07764295078962277,0,0.0,0.1388888888888889
FIVE_FIXED_382_TARGETS,target_id,CHEMBL1169596,dtiam,probematch,720,0.1609308159210622,1,1.0,0.1388888888888889
FIVE_FIXED_382_TARGETS,target_id,CHEMBL1250375,dtiam,biomaster,720,-0.03560685874261801,0,0.0,0.1388888888888889
FIVE_FIXED_382_TARGETS,target_id,CHEMBL1250375,dtiam,drugclip,720,-0.10849787192134375,0,0.0,0.1388888888888889
FIVE_FIXED_382_TARGETS,target_id,CHEMBL1250375,dtiam,conplex,720,-0.12093465235462972,0,0.0,0.1388888888888889
FIVE_FIXED_382_TARGETS,target_id,CHEMBL1250375,dtiam,probematch,720,0.16694055348250228,1,1.0,0.1388888888888889
FIVE_FIXED_382_TARGETS,target_id,CHEMBL1250417,dtiam,biomaster,720,0.0726378458727121,0,0.0,0.1388888888888889
FIVE_FIXED_382_TARGETS,target_id,CHEMBL1250417,dtiam,drugclip,720,0.17462699195742562,0,0.0,0.1388888888888889
